theme,url,img,lines,author
UNITY,/inspirational-quotes/7943-we-are-each-other-s-harvest-we-are-each,https://assets.passiton.com/quotes/quote_artwork/7943/medium/20210630_wednesday_quote.jpg?1623711164,We are each other’s harvest; we are each other’s business; we are each other’s magnitude and bond.,<Author:0x00007fd445a1f060>
UNITY,/inspirational-quotes/7700-it-is-not-in-numbers-but-in-unity-that-our,https://assets.passiton.com/quotes/quote_artwork/7700/medium/20210629_tuesday_quote.jpg?1623711138,"It is not in numbers, but in unity, that our great strength lies.",<Author:0x00007fd445a437f8>
UNITY,/inspirational-quotes/4373-so-powerful-is-the-light-of-unity-that-it-can,https://assets.passiton.com/quotes/quote_artwork/4373/medium/20210628_monday_quote.jpg?1623711099,So powerful is the light of unity that it can illuminate the whole earth.,<Author:0x00007fd445a603d0>
FITNESS,/inspirational-quotes/7280-if-it-doesn-t-challenge-you-it-doesn-t-change,https://assets.passiton.com/quotes/quote_artwork/7280/medium/20210625_friday_quote.jpg?1623697918,"If it doesn’t challenge you, it doesn’t change you.",<Author:0x00007fd445a85158>
FITNESS,/inspirational-quotes/8234-fitness-is-not-about-being-better-than-someone,https://assets.passiton.com/quotes/quote_artwork/8234/medium/20210624_thursday_quote.jpg?1623697895,Fitness is not about being better than someone else. It’s about being better than you used to be. ,<Author:0x00007fd445ab6b18>
FITNESS,/inspirational-quotes/8236-energy-amp-persistence-conquer-all-things,https://assets.passiton.com/quotes/quote_artwork/8236/medium/20210623_wednesday_quote.jpg?1623697854,Energy & persistence conquer all things.,<Author:0x00007fd445afaf98>
FITNESS,/inspirational-quotes/8232-the-purpose-of-training-is-to-tighten-up-the,https://assets.passiton.com/quotes/quote_artwork/8232/medium/20210622_tuesday_quote.jpg?1623697810,"The purpose of training is to tighten up the slack, toughen the body, and polish the spirit.",<Author:0x00007fd445b2f0e0>
FITNESS,/inspirational-quotes/8126-physical-fitness-is-not-only-one-of-the-most,https://assets.passiton.com/quotes/quote_artwork/8126/medium/20210621_monday_quote.jpg?1623697783,"Physical fitness is not only one of the most important keys to a healthy body, it is the basic of dynamic and creative intellectual activity.",<Author:0x00007fd445b59778>
MENTORING,/inspirational-quotes/8231-the-delicate-balance-of-mentoring-someone-is,https://assets.passiton.com/quotes/quote_artwork/8231/medium/20210618_friday_quote.jpg?1623272441,"The delicate balance of mentoring someone is not creating them in your own image, but giving them the opportunity to create themselves.",<Author:0x00007fd445b85968>
MENTORING,/inspirational-quotes/8230-a-good-coach-can-change-a-game-a-great-coach,https://assets.passiton.com/quotes/quote_artwork/8230/medium/20210617_thursday_quote.jpg?1623272410,A good coach can change a game. A great coach can change a life.,<Author:0x00007fd445bb0488>
